PST NAME,ED PENALTY,LOG NUM,DATESTAMP,RARITY,OWNERS
BinkUncia,false,10862,2018-10-24T07:19:39,5.81,32528
Dino_Roar,false,17285,2018-10-23T14:10:03,7.71,21431
Dino_Roar,false,17284,2018-10-23T14:09:12,7.25,21431
Dino_Roar,false,17283,2018-10-23T13:14:18,6.22,21431
esstee11,false,6087,2018-10-24T02:15:32,0.73,237
esstee11,false,6086,2018-10-24T02:03:08,0.79,107367
esstee11,false,6085,2018-10-23T22:12:43,0.06,107367
Haptism,false,13243,2018-10-24T12:31:36,3.51,23117
Haptism,false,13242,2018-10-23T21:48:32,3.56,23117
Haptism,false,13241,2018-10-23T21:17,2.65,23117
HellCU3ED,false,12595,2018-10-23T22:39:08,0.33,36747
HellCU3ED,false,12594,2018-10-23T22:39:08,0.38,36747
HellCU3ED,false,12593,2018-10-23T22:39:07,0.41,36747
HellCU3ED,false,12592,2018-10-23T22:37:54,1.51,36747
Jerry Appleby,false,22304,2018-10-23T06:59:39,3.56,23117
Jerry Appleby,false,22303,2018-10-23T06:48:52,4.78,23117
Jerry Appleby,false,22302,2018-10-23T06:45:45,4.5,23117
Jerry Appleby,false,22301,2018-10-23T06:27:58,3.51,23117
KyoRML007,false,10497,2018-10-24T03:50:28,10.29,74078
KyoRML007,false,10496,2018-10-23T04:48:08,4.44,74078
KyoRML007,false,10495,2018-10-23T04:33:50,3.85,74078
leptonic,false,30724,2018-10-23T13:51:43,78.36,1779
leptonic,false,30723,2018-10-23T13:48:33,77.4,1779
leptonic,false,30722,2018-10-23T13:18:28,86.98,1014
leptonic,false,30721,2018-10-23T13:15:07,86.69,1014
leptonic,false,30720,2018-10-23T12:51:43,88.36,1503
leptonic,false,30719,2018-10-23T12:46:38,87.29,1503
leptonic,false,30718,2018-10-23T05:13:40,49.18,41000
leptonic,false,30717,2018-10-23T05:01:49,39.47,41000
leptonic,false,30716,2018-10-23T04:17:32,40.05,41000
leptonic,false,30715,2018-10-23T03:21:48,13.69,41000
leptonic,false,30714,2018-10-23T03:15:33,36.12,41000
leptonic,false,30713,2018-10-23T03:04:45,25.14,41000
leptonic,false,30712,2018-10-23T02:59:35,18.19,41000
leptonic,false,30711,2018-10-23T02:45:48,31.45,41000
leptonic,false,30710,2018-10-23T02:42:40,26.2,41000
LionSquid,false,8256,2018-10-24T06:40:22,1.83,156595
LionSquid,false,8255,2018-10-24T06:10:37,1.87,156595
LionSquid,false,8254,2018-10-24T04:57:14,1.87,156595
luffybuggy,false,11258,2018-10-24T03:17:25,1.62,7272
luffybuggy,false,11257,2018-10-23T19:37:49,0.59,7096
luffybuggy,false,11256,2018-10-23T16:56,0.57,22022
Martz,false,3131,2018-10-23T18:00:49,14.41,18014
Martz,false,3130,2018-10-23T18:00:47,30.39,18014
Martz,false,3129,2018-10-23T15:41:56,8.07,18014
Martz,false,3128,2018-10-23T15:21:18,5.09,18014
MikelAl93,false,10017,2018-10-23T08:55:03,2.21,25025
MikelAl93,false,10016,2018-10-23T08:39:40,17.64,25025
MikelAl93,false,10015,2018-10-23T03:57:28,1.8,201398
Noid,false,16557,2018-10-24T02:39:42,1.66,31504
Noid,false,16556,2018-10-24T01:05:22,2.38,31504
Noid,false,16555,2018-10-23T23:48:43,3.62,31504
nyannyanexpress,false,9874,2018-10-24T02:50:42,3.19,11980
nyannyanexpress,false,9873,2018-10-24T02:17:22,2.15,11980
nyannyanexpress,false,9872,2018-10-23T04:49:19,1.85,11980
olsen77,false,15590,2018-10-23T22:30:09,0.21,19492
Resolute,false,12368,2018-10-24T13:16:05,3.91,153537
Resolute,false,12367,2018-10-23T18:46:14,1.29,166200
Resolute,false,12366,2018-10-23T16:22:40,1.51,166200
Road2unner,false,12855,2018-10-23T19:58:02,0.8,19913
Sellers,false,20619,2018-10-24T01:10:09,7.2,1271
Sellers,false,20618,2018-10-24T00:45:58,5.68,15629
Sellers,false,20617,2018-10-24T00:35:03,4.65,15629
Sellers,false,20616,2018-10-24T00:10:17,4.6,1015
Sellers,false,20615,2018-10-24T00:10,5.56,1015
Sellers,false,20614,2018-10-23T23:31:45,7.25,1015
Sellers,false,20613,2018-10-23T23:12:04,5.39,1015
Sellers,false,20612,2018-10-23T22:28:35,6.55,1015
Sellers,false,20611,2018-10-23T16:12:08,6.93,1015
